,Most collectible living artists,Value of works sold in million U.S. dollars
0,Gerhard Richter,1207.42
1,Jeff Koons,438.29
2,Christopher Wool,378.22
3,Cui Ruzhuo,332.82
4,Zeng Fanzhi,279.11
5,Yayoi Kusama,205.82
6,Richard Prince,199.9
7,Peter Doig,197.01
8,Fan Zeng,184.21
9,Ed Ruscha,145.63
10,Damien Hirst,139.98
11,Zhou Chunya,124.98
12,Zhang Xiaogang,123.15
13,Robert Ryman,121.73
14,Wayne Thiebaud,118.54
15,He Jiaying,104.62
16,Huang Yongyu,100.64
17,Fernando Botero,96.12
18,Frank Stella,94.94
19,Rudolf Stingel,92.49
