,State,Number of murder victims
0,California,1690
1,Texas,1409
2,Florida,1122
3,Illinois,832
4,Pennsylvania,669
5,Georgia,654
6,North Carolina,632
7,Missouri,568
8,New York,558
9,Michigan,556
10,Louisiana,544
11,Maryland,542
12,Ohio,538
13,Tennessee,498
14,South Carolina,464
15,Virginia,426
16,Indiana,377
17,Arizona,365
18,Alabama,358
19,Mississippi,332
20,Oklahoma,266
21,New Jersey,262
22,Arkansas,242
23,Kentucky,221
24,Colorado,218
25,Washington,198
26,New Mexico,181
27,Wisconsin,175
28,District of Columbia,166
29,Massachusetts,152
30,Nevada,143
31,Minnesota,117
32,Oregon,116
33,Kansas,105
34,Connecticut,104
35,West Virginia,78
36,Utah,72
37,Alaska,69
38,Iowa,60
39,Hawaii,48
40,Delaware,48
41,Nebraska,45
42,Idaho,35
43,New Hampshire,33
44,Montana,27
45,Rhode Island,25
46,North Dakota,24
47,Maine,20
48,South Dakota,17
49,Wyoming,13
50,Vermont,11
