,Country,Length of rail network in kilometers
0,Germany,39299
1,France *,27594
2,Poland,18536
3,Italy,16781
4,United Kingdom,16294
5,Spain,15893
6,Sweden,10906
7,Romania,10765
8,Turkey,10417
9,Czech Republic,9406
10,Hungary,7752
11,Finland,5925
12,Austria,4953
13,Norway,4134
14,Switzerland,4032
15,Bulgaria,4030
16,Serbia,3724
17,Slovak Republic,3627
18,Belgium *,3602
19,Netherlands,3220
20,Croatia,2605
21,Portugal,2546
22,Denmark,2519
23,Greece,2292
24,Republic of Ireland,2045
25,Lithuania,1911
26,Latvia,1860
27,Slovenia,1209
28,Estonia,1033
29,North Macedonia,683
30,Albania*,423
31,Luxembourg,275
32,Montenegro,249
