,Month,Square footage take-up
0,Aug '20,136999
1,Jul '20,63890
2,Jun '20,187678
3,May '20,108913
4,Apr '20,41723
5,Mar '20,160932
6,Feb '20,223704
7,Jan '20,277588
8,Dec '19,654769
9,Nov '19,293023
10,Oct '19,478534
11,Sep '19,319776
12,Aug '19,151140
13,Jul '19,462193
14,Jun '19,223455
15,May '19,312301
16,Apr '19,300856
17,Mar '19,420802
18,Feb '19,585354
19,Jan '19,235461
20,Dec '18,457935
21,Nov '18,349030
22,Oct '18,477941
23,Sep '18,148833
24,Aug '18,283074
25,Jul '18,1192648
26,Jun '18,525288
27,May '18,295141
28,Apr '18,289756
29,Mar '18,444038
30,Feb '18,290660
31,Jan '18,353624
