,Year,Number of reported cases
0,2019,1117696
1,2018,1235013
2,2017,1397045
3,2016,1516405
4,2015,1587564
5,2014,1713153
6,2013,1932139
7,2012,2109932
8,2011,2185140
9,2010,2168459
10,2009,2203313
11,2008,2228887
12,2007,2190198
13,2006,2194993
14,2005,2155448
15,2004,2144446
16,2003,2154834
17,2002,2151252
18,2001,2109767
19,2000,2050992
20,1999,2100739
21,1998,2332735
22,1997,2461100
23,1996,2506400
24,1995,2593800
25,1994,2712800
26,1993,2834800
27,1992,2979900
28,1991,3157200
29,1990,3073900
