,Month,Retail sales value in thousand GBP
0,Apr 20,13786437
1,Mar 20,18020501
2,Feb 20,13104801
3,Jan 20,16392550
4,Dec 19,16015531
5,Nov 19,12971538
6,Oct 19,13019378
7,Sep 19,16283086
8,Aug 19,13005887
9,Jul 19,12941718
10,Jun 19,16096379
11,May 19,12830476
12,Apr 19,12861245
13,Mar 19,16203461
14,Feb 19,12849337
15,Jan 19,12897567
16,Dec 18,15955425
17,Nov 18,12675943
18,Oct 18,12624204
19,Sep 18,15735254
20,Aug 18,12683200
21,Jul 18,12754473
22,Jun 18,15866605
23,May 18,12692589
24,Apr 18,12475067
25,Mar 18,15480424
26,Feb 18,12460171
27,Jan 18,12304172
28,Dec 17,15485722
29,Nov 17,12344809
30,Oct 17,12310081
31,Sep 17,15253284
32,Aug 17,12134745
33,Jul 17,12108540
34,Jun 17,15038352
35,May 17,12111792
36,Apr 17,12174782
37,Mar 17,15194614
38,Feb 17,12096590
39,Jan 17,11948514
40,Dec 16,14915507
41,Nov 16,12018628
42,Oct 16,12035943
43,Sep 16,15009519
44,Aug 16,11935235
45,Jul 16,11838856
46,Jun 16,14765328
47,May 16,11826270
48,Apr 16,11731018
49,Mar 16,14747702
50,Feb 16,11826778
51,Jan 16,11794708
52,Dec 15,14762026
53,Nov 15,11714568
54,Oct 15,11607049
55,Sep 15,14837769
56,Aug 15,11503811
57,Jul 15,11657450
58,Jun 15,14670578
59,May 15,11715757
60,Apr 15,11662455
61,Mar 15,14604714
62,Feb 15,11621123
63,Jan 15,11633752
64,Dec 14,14687741
65,Nov 14,11779128
66,Oct 14,11724001
67,Sep 14,14581685
68,Aug 14,11624073
69,Jul 14,11782161
70,Jun 14,14672722
71,May 14,11652918
