,Response,Share of respondents
0,Just quit / decided it was time / quit cold turkey,48%
1,Will power / commitment / mind over matter,8%
2,"Support from family, friends / prayer",6%
3,Used nicotine patch,5%
4,Was experiencing health issues related to smoking,5%
5,Stopped being around people who smoke,4%
6,Used chewing gum / candy / seeds / lozenges to help,3%
7,Used electronic cigarette,3%
8,"Cut down, then quit",2%
9,Used prescription drugs,2%
10,Became pregnant,1%
11,Used hypnosis,1%
12,Used nicotine gum,1%
13,Other,12%
14,Nothing,2%
15,No opinion,3%
