,Month,Payroll in thousand U.S. dollars
0,Bradley Wright-Phillips,1380.0
1,Kaku,800.0
2,Aaron Long,800.0
3,Daniel Royer,768.75
4,Tim Parker,752.2
5,Luis Robles,490.0
6,Kemar Lawrence,382.75
7,Marc Rzatkowski,341.67
8,Andreas Ivan,330.6
9,Sean Davis,327.5
10,Mathias Jorgensen,306.25
11,Amro Tarek,156.25
12,Ryan Meara,137.0
13,Connor Lade,132.75
14,Alex Muyl,127.75
15,Cristian Casseres,118.75
16,Michael Murillo,113.75
17,Omir Fernandez,95.0
18,Derrick Etienne,82.06
19,Jean-Christophe Koffi,76.03
20,Marcus Epps,74.54
21,Florian Valot,74.51
22,Vincent Bezecourt,73.3
23,Evan Louro,70.25
24,Ben Mines,63.24
25,Brian White,57.23
26,Kyle Duncan,57.23
27,Sean Nealis,56.25
28,Tom Barlow,56.25
