,Ufc Fights,Attendance
0,Rousey vs Holm (UFC 193),56214
1,St. Pierre vs Shields (UFC 129),55724
2,Werdum vs Miocic (UFC 198),45207
3,Gustafsson vs Johnson (UFC on FOX 14),30000
4,St. Pierre vs Koscheck 2 (UFC 124),23152
5,Hunt vs Oleinik (UFC Fight Night 136),22603
6,Redemption (UFC 97),21451
7,Serra vs St. Pierre 2 (UFC 83),21390
8,Velasquez vs Werdum (UFC 188),21036
9,Werdum vs Hunt (UFC 180),21000
10,Edgar vs Henderson (UFC 144),21000
11,Alvarez vs McGregor (UFC 205),20427
12,St Pierre vs Diaz (UFC 158),20145
13,Khabib vs McGregor (UFC 229),20034
14,Hendricks vs Lawler (UFC 171),19324
15,Uprising (UFC 68),19049
16,Holloway vs Ortega (UFC 231),19039
17,Miocic vs Overeem (UFC 203),18785
