,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",11.53
1,"Educational services, health care, and social assistance",8.03
2,Government and government enterprises,7.69
3,Professional and business services,6.83
4,Manufacturing,5.76
5,Retail trade,5.14
6,Wholesale trade,3.19
7,"Arts, entertainment, recreation, accommodation, and food services",3.08
8,Construction,1.86
9,Information,1.41
10,Transportation and warehousing,1.21
11,"Agriculture, forestry, fishing, and hunting",0.98
12,Utilities,0.95
13,"Mining, quarrying, and oil and gas extraction",0.03
