,Instagram post,Number of likes in millions
0,@world_record_egg: Photo of an egg (Jan '19),54.5
1,@xxxtentacion: Final image before his death (May '18),20.6
2,@kyliejenner: First photo of her daughter (Feb '18),18.5
3,@jenniferaniston: Photo with Friends co-stars (Oct '18),16.1
4,@kyliejenner: Birthday post for ex-boyfriend Travis Scott (Apr '20),15.7
5,@tentree: Plant trees on Earth Week (Apr '19),15.6
6,@kingjames: Post in remembrance of Kobe Bryant (Jan '20),15.5
7,@kyliejenner: Photo of her daughter in a bathtub (Mar '20),15.2
8,@therock: Photo of his wedding (Aug '19),14.5
9,@selenagomez: Photos with friends (Feb '19),14.4
