,Month,Consumer price index (2015=100)
0,Nov 2020,110.37
1,Oct 2020,109.42
2,Sep 2020,109.99
3,Aug 2020,109.95
4,Jul 2020,109.78
5,Jun 2020,109.94
6,May 2020,109.66
7,Apr 2020,108.85
8,Mar 2020,109.21
9,Feb 2020,108.5
10,Jan 2020,107.52
11,Dec 2019,107.9
12,Nov 2019,107.17
13,Oct 2019,107.97
14,Sep 2019,108.39
15,Aug 2019,108.07
16,Jul 2019,107.42
17,Jun 2019,107.59
18,May 2019,108.62
19,Apr 2019,106.35
20,Mar 2019,107.81
21,Feb 2019,106.95
22,Jan 2019,107.78
23,Dec 2018,105.46
24,Nov 2018,105.03
25,Oct 2018,105.64
26,Sep 2018,105.45
27,Aug 2018,103.68
28,Jul 2018,104.78
29,Jun 2018,104.38
30,May 2018,103.76
31,Apr 2018,104.3
32,Mar 2018,105.26
33,Feb 2018,105.29
34,Jan 2018,104.4
