,Month,Units sold
0,Dec '19,3601
1,Nov '19,4167
2,Oct '19,4943
3,Sep '19,10035
4,Aug '19,1898
5,Jul '19,7630
6,Jun '19,9391
7,May '19,8504
8,Apr '19,7584
9,Mar '19,13828
10,Feb '19,3003
11,Jan '19,4242
12,Dec '18,3745
13,Nov '18,4112
14,Oct '18,5229
15,Sep '18,9670
16,Aug '18,2088
17,Jul '18,7268
18,Jun '18,10589
19,May '18,8842
20,Apr '18,7193
21,Mar '18,12493
22,Feb '18,2682
23,Jan '18,4050
24,Dec '17,4290
25,Nov '17,4481
26,Oct '17,5263
27,Sep '17,9281
28,Aug '17,5036
29,Jul '17,7308
30,Jun '17,9628
31,May '17,8436
32,Apr '17,8330
33,Mar '17,11887
34,Feb '17,2483
35,Jan '17,3384
