,Year,Export volume in billion U.S. dollars
0,2019,74.65
1,2018,75.23
2,2017,67.58
3,2016,63.25
4,2015,62.39
5,2014,66.89
6,2013,65.24
7,2012,69.98
8,2011,65.8
9,2010,60.47
10,2009,51.13
11,2008,65.14
12,2007,61.16
13,2006,58.46
14,2005,54.68
15,2004,53.57
16,2003,52.0
17,2002,51.45
18,2001,57.45
19,2000,64.92
20,1999,57.47
21,1998,57.83
22,1997,65.55
23,1996,67.61
24,1995,64.34
25,1994,53.49
26,1993,47.89
27,1992,47.81
28,1991,48.13
29,1990,48.58
30,1989,44.49
31,1988,37.73
32,1987,28.25
33,1986,26.88
34,1985,22.63
