,Year,GDP per capita in U.S. dollars
0,2025,413.16
1,2024,407.57
2,2023,402.74
3,2022,400.35
4,2021,397.31
5,2020,399.1
6,2019,377.72
7,2018,350.44
8,2017,325.01
9,2016,294.76
10,2015,353.51
11,2014,343.98
12,2013,317.47
13,2012,359.59
14,2011,493.84
15,2010,442.77
16,2009,405.62
17,2008,358.42
18,2007,306.9
19,2006,284.73
20,2005,267.79
21,2004,259.73
22,2003,245.14
23,2002,272.82
24,2001,240.4
25,2000,250.46
26,1999,261.56
27,1998,264.97
28,1997,414.36
29,1996,363.68
30,1995,227.2
31,1994,197.55
32,1993,343.23
33,1992,300.05
34,1991,371.87
35,1990,298.72
36,1989,272.96
37,1988,251.93
38,1987,232.78
39,1986,251.76
40,1985,254.77
