,Year,GDP in million GBP
0,2019,2168798
1,2018,2141792
2,2017,2115296
3,2016,2079113
4,2015,2043909
5,2014,1996725
6,2013,1941155
7,2012,1899626
8,2011,1872838
9,2010,1849247
10,2009,1811672
11,2008,1889401
12,2007,1894682
13,2006,1850989
14,2005,1802435
15,2004,1750690
16,2003,1711559
17,2002,1656531
18,2001,1621208
19,2000,1578121
20,1999,1524662
21,1998,1476025
22,1997,1423254
23,1996,1355798
24,1995,1322839
25,1994,1290179
26,1993,1242396
27,1992,1212206
28,1991,1207364
29,1990,1220831
30,1989,1211937
31,1988,1181481
32,1987,1117428
33,1986,1060255
34,1985,1027873
35,1984,987166
36,1983,965509
37,1982,926621
38,1981,908707
39,1980,915042
40,1979,934253
41,1978,900728
42,1977,864606
43,1976,844053
44,1975,819361
45,1974,831823
46,1973,853211
47,1972,801160
48,1971,768159
49,1970,741420
50,1969,721970
51,1968,708384
52,1967,671765
53,1966,653694
54,1965,643723
55,1964,630411
56,1963,596399
57,1962,568897
58,1961,562843
59,1960,548182
60,1959,515587
61,1958,494469
62,1957,487920
63,1956,478458
64,1955,470517
65,1954,452371
66,1953,433512
67,1952,410688
68,1951,404591
69,1950,390150
70,1949,377558
71,1948,365418
