,state of India,Number of teachers
0,Maharastra,172046
1,Karnataka,127898
2,Telangana,120017
3,Andhra Pradesh,117220
4,Rajasthan,114947
5,Tamil Nadu,83095
6,Assam,82335
7,Odisha,82252
8,Punjab,59967
9,Madhya Pradesh,51155
10,Uttar Pradesh,48979
11,Jammu & Kashmir,42233
12,West Bengal,41759
13,Bihar,40095
14,Haryana,37902
15,Kerala,35461
16,Jharkhand,28095
17,Gujarat,23446
18,Chhattisgarh,19989
19,Manipur,14678
20,Himachal Pradesh,14418
21,Tripura,10456
22,Uttarakhand,9949
23,Delhi,9301
24,Meghalaya,9002
25,Nagaland,8994
26,Goa,6896
27,Mizoram,4394
28,Arunachal Pradesh,3898
29,Puducherry,3487
30,Sikkim,2915
31,Chandigarh,2824
32,Andaman & Nicobar Islands,992
33,Dadra & Nagar Haveli,256
34,Daman & Diu,217
35,Lakshadweep,23
