,leading players,Market value in million euros
0,Sadio Mané,70.0
1,Kalidou Koulibaly,60.0
2,Keita Baldé,30.0
3,Idrissa Gueye,20.0
4,Salif Sané,18.0
5,Badou Ndiaye,15.0
6,Ismaïla Sarr,14.0
7,Cheikhou Kouyaté,12.0
8,M'Baye Niang,10.0
9,Mame Diouf,7.0
10,Youssouf Sabaly,7.0
11,Kara,7.0
12,Moussa Konaté,6.0
13,Alfred N'Diaye,5.0
14,Diafra Sakho,5.0
15,Alfred Gomis,3.0
16,Cheikh N'Doye,2.5
17,Moussa Sow,1.5
18,Lamine Gassama,1.25
19,Abdoulaye Diallo,1.0
20,Moussa Wagué,1.0
21,Saliou Ciss,0.8
22,Khadim N'Diaye,0.25
