,Country,Securities in billion U.S. dollars
0,Japan,1276.2
1,"China, Mainland",1061.7
2,United Kingdom,428.9
3,Ireland,315.8
4,Brazil,265.1
5,Luxembourg,262.5
6,Switzerland,255.3
7,Hong Kong,245.5
8,Cayman Islands,231.6
9,Belgium,218.1
10,India,213.5
11,Taiwan,213.5
12,Singapore,159.0
13,France,135.4
14,Saudi Arabia,131.2
15,Canada,128.0
16,Korea,123.2
17,Norway,91.3
18,Thailand,83.2
19,Germany,74.8
20,Bermuda,73.6
21,Netherlands,69.2
22,Israel,51.5
23,Mexico,49.2
24,Philippines,46.7
25,Kuwait,46.6
26,Poland,44.1
27,Italy,44.0
28,Spain,41.3
29,Australia,38.3
30,Sweden,38.2
31,United Arab Emirates,33.1
32,Vietnam,30.4
33,All Other,551.1
