,company,Number of employees
0,FMF Group AB,1144
1,Meritor HVS AB,986
2,Atria Sverige AB,971
3,Örebro Rådhus AB,811
4,Dressmann AB,678
5,Textilia Tvätt & Textilservice AB,547
6,Nordica Assistans AB,529
7,Kopparbergs Bryggeri AB,460
8,Kraft Assistans AB,454
9,Linde Material Handling AB,453
10,Cambrex Karlskoga AB,421
11,Dynasafe International AB,416
12,Zinkgruvan Mining AB,397
13,Würth Svenska AB,388
14,Radiator VVS AB,384
15,Suzuki Garphyttan AB,347
16,Akustikbyggarna Sverige AB,341
17,BAE Systems Bofors AB,340
18,Orica Sweden AB,335
19,V7 Förvaltning AB,329
