,Year,Population in thousands
0,2020,65273.51
1,2019,65129.73
2,2018,64990.51
3,2017,64842.51
4,2016,64667.59
5,2015,64453.19
6,2014,64193.55
7,2013,63893.52
8,2012,63564.22
9,2011,63222.23
10,2010,62879.54
11,2009,62542.88
12,2008,62209.21
13,2007,61869.23
14,2006,61508.92
15,2005,61120.13
16,2004,60697.98
17,2003,60251.59
18,2002,59803.43
19,2001,59384.13
20,2000,59015.09
21,1999,58704.38
22,1998,58444.25
23,1997,58220.66
24,1996,58012.06
25,1995,57801.89
26,1994,57587.12
27,1993,57370.38
28,1992,57147.21
29,1991,56913.58
30,1990,56666.86
31,1989,56404.3
32,1988,56126.34
33,1987,55837.62
34,1986,55545.27
35,1985,55254.84
36,1984,54965.17
37,1983,54675.37
38,1982,54391.47
39,1981,54121.01
40,1980,53868.01
41,1979,53637.07
42,1978,53423.11
43,1977,53208.55
44,1976,52969.31
45,1975,52688.58
46,1974,52356.79
47,1973,51979.53
48,1972,51573.27
49,1971,51162.57
50,1970,50763.92
51,1969,50387.44
52,1968,50024.59
53,1967,49651.08
54,1966,49232.54
55,1965,48746.65
56,1964,48184.41
57,1963,47560.83
58,1962,46907.04
59,1961,46266.97
60,1960,45673.15
61,1959,45138.43
62,1958,44659.05
63,1957,44221.22
64,1956,43809
65,1955,43411.38
66,1954,43024.82
67,1953,42654.66
68,1952,42315.6
69,1951,42031.2
70,1950,41833.87
71,1949,41600
72,1948,41400
73,1947,41200
74,1946,41100
75,1945,40900
76,1944,40800
77,1943,40600
78,1942,40500
79,1941,40400
80,1940,40300
81,1939,40300
82,1938,40300
83,1937,40400
84,1936,40400
85,1935,40500
86,1934,40600
87,1933,40600
88,1932,40700
89,1931,40700
90,1930,40600
91,1929,40500
92,1928,40300
93,1927,40000
94,1926,39800
95,1925,39500
96,1924,39300
97,1923,39000
98,1922,38700
99,1921,38600
100,1920,38500
101,1919,38600
102,1918,38700
103,1917,38900
104,1916,39100
105,1915,39300
106,1914,39600
107,1913,39800
108,1912,40000
109,1911,40200
110,1910,40300
111,1909,40400
112,1908,40400
113,1907,40400
114,1906,40300
115,1905,40300
116,1904,40200
117,1903,40200
118,1902,40100
119,1901,40100
120,1900,40000
121,1899,40000
122,1898,39900
123,1897,39900
124,1896,39800
125,1895,39800
126,1894,39700
127,1893,39700
128,1892,39600
129,1891,39600
130,1890,39500
131,1889,39500
132,1888,39400
133,1887,39300
134,1886,39200
135,1885,39100
136,1884,39000
137,1883,39000
138,1882,38900
139,1881,38800
140,1880,38700
141,1879,38700
142,1878,38600
143,1877,38600
144,1876,38500
145,1875,38500
146,1874,38400
147,1873,38400
148,1872,38300
149,1871,38300
150,1870,38200
151,1869,38100
152,1868,38000
153,1867,37900
154,1866,37800
155,1865,37700
156,1864,37600
157,1863,37500
158,1862,37400
159,1861,37300
160,1860,37200
161,1859,37100
162,1858,37000
163,1857,36900
164,1856,36900
165,1855,36800
166,1854,36700
167,1853,36600
168,1852,36500
169,1851,36400
170,1850,36300
171,1849,36200
172,1848,36100
173,1847,35900
174,1846,35800
175,1845,35600
176,1844,35500
177,1843,35300
178,1842,35200
179,1841,35000
180,1840,34900
181,1839,34700
182,1838,34600
183,1837,34400
184,1836,34300
185,1835,34100
186,1834,33900
187,1833,33800
188,1832,33600
189,1831,33400
190,1830,33300
191,1829,33100
192,1828,32900
193,1827,32700
194,1826,32500
195,1825,32300
196,1824,32100
197,1823,31900
198,1822,31700
199,1821,31500
200,1820,31300
201,1819,31200
202,1818,31000
203,1817,30900
204,1816,30800
205,1815,30700
206,1814,30600
207,1813,30400
208,1812,30300
209,1811,30200
210,1810,30100
211,1809,30000
212,1808,29900
213,1807,29800
214,1806,29700
215,1805,29500
216,1804,29400
217,1803,29300
218,1802,29200
219,1801,29100
220,1800,29000
221,......,-
222,1784*,24800
223,1762*,21769
224,1700*,19669
