,Industry,Real value added in billion chained (2012) U.S. dollars
0,Professional and business services,103.94
1,"Finance, insurance, real estate, rental, and leasing",87.78
2,Government and government enterprises,85.35
3,Manufacturing,41.32
4,"Educational services, health care, and social assistance",36.52
5,Retail trade,26.34
6,Information,21.79
7,Wholesale trade,20.97
8,Construction,16.71
9,"Arts, entertainment, recreation, accommodation, and food services",15.11
10,Transportation and warehousing,12.38
11,Other services (except government and government enterprises),11.34
12,Utilities,6.94
13,"Agriculture, forestry, fishing, and hunting",2.27
14,"Mining, quarrying, and oil and gas extraction",1.74
