,Country,Volume in thousand tonnes
0,Turkey,12150.0
1,Italy,6055.43
2,Spain,4768.82
3,Portugal,1329.76
4,Poland,928.83
5,Netherlands,910.0
6,Greece,885.15
7,France,712.02
8,Romania,451.76
9,Albania *,286.8
10,Belgium,258.68
11,Hungary,204.0
12,Serbia *,170.76
13,North Macedonia,161.62
14,Bulgaria,148.08
15,Germany,103.27
16,United Kingdom,66.9
17,Austria,58.15
18,Switzerland,48.24
19,Bosnia and Herzegovina **,43.92
20,Finland,39.32
21,Croatia,22.59
22,Slovakia,22.29
23,Kosovo*,18.8
24,Sweden,18.23
25,Cyprus ***,15.7
26,Lithuania,12.19
27,Denmark,11.76
28,Malta,11.19
29,Norway*,10.57
30,Czechia,10.08
31,Slovenia,8.39
32,Latvia,5.2
33,Ireland,3.92
34,Montenegro **,3.27
35,Iceland,1.21
36,Estonia,0.29
37,Luxembourg,0.01
