,Quarter,Technology,Investment,Jewelry,Central banks and other institutions
0,Q4 '19,84.0,279.2,584.1,124.2
1,Q3 '19,82.2,408.6,460.9,156.2
2,Q2 '19,81.1,285.8,531.7,224.4
3,Q1 '19,79.3,298.1,530.3,145.5
4,Q4 '18,84.1,395.5,666.3,297.2
5,Q3 '18,85.3,194.9,535.7,148.4
6,Q2 '18,83.3,281.4,510.3,89.4
7,Q1 '18,82.1,287.3,487.7,116.5
8,Q4 '17,87.9,300.9,684.1,74.4
9,Q3 '17,84.3,246.2,505.8,121.8
10,Q2 '17,81.5,310.3,519.4,96.4
11,Q1 '17,78.9,394.2,491.6,82.2
12,Q4 '16,83.8,173.9,622.0,114.4
13,Q3 '16,82.4,335.7,493.1,81.7
14,Q2 '16,80.9,448.4,444.1,76.9
15,Q1 '16,80.9,617.6,481.9,109.4
