,Month,Exchange rate
0,Oct 2020,10.4
1,Sep 2020,10.42
2,Aug 2020,10.31
3,Jul 2020,10.36
4,Jun 2020,10.48
5,May 2020,10.61
6,Apr 2020,10.89
7,Mar 2020,10.85
8,Feb 2020,10.57
9,Jan 2020,10.55
10,Dec 2019,10.49
11,Nov 2019,10.65
12,Oct 2019,10.8
13,Sep 2019,10.7
14,Aug 2019,10.73
15,Jul 2019,10.56
16,Jun 2019,10.63
17,May 2019,10.74
18,Apr 2019,10.48
19,Mar 2019,10.5
20,Feb 2019,10.5
21,Jan 2019,10.27
22,Dec 2018,10.28
23,Nov 2018,10.3
24,Oct 2018,10.38
25,Sep 2018,10.44
26,Aug 2018,10.46
27,Jul 2018,10.31
28,Jun 2018,10.27
29,May 2018,10.35
