,Month,Number of cases
0,Apr 2,765
1,Apr 1,734
2,Mar 31,663
3,Mar 30,448
4,Mar 29,628
5,Mar 28,584
6,Mar 27,342
7,Mar 26,324
8,Mar 25*,1100
9,Mar 24,167
10,Mar 23,188
11,Mar 22,171
12,Mar 21,183
13,Mar 20,102
14,Mar 19,123
15,Mar 18,54
16,Mar 17,32
17,Mar 16,5
18,Mar 15,58
19,Mar 14,29
20,Mar 13,26
21,Mar 12,21
22,Mar 11,4
23,Mar 10,14
24,Mar 9,0
25,Mar 8,18
26,Mar 7,6
27,Mar 6,17
28,Mar 5,5
29,Mar 4,3
30,Mar 3,2
31,Mar 2,0
32,Mar 1,3
33,Feb 29,3
34,Feb 28,1
35,Feb 27,1
36,Feb 26,1
37,Feb 25,0
38,Feb 24,0
39,Feb 23,0
40,Feb 22,0
41,Feb 21,1
42,Feb 20,0
43,Feb 19,0
44,Feb 18,0
45,Feb 17,0
46,Feb 16,0
47,Feb 15,0
48,Feb 14,0
49,Feb 13,0
50,Feb 12,0
51,Feb 11,0
52,Feb 10,0
53,Feb 9,0
54,Feb 8,0
55,Feb 7,0
56,Feb 6,0
57,Feb 5,0
58,Feb 4,0
59,Feb 3,0
60,Feb 2,0
61,Feb 1,0
62,Jan 31,0
63,Jan 30,0
64,Jan 29,0
65,Jan 28,0
66,Jan 27,0
67,Jan 26,0
68,Jan 25,0
69,Jan 24,0
70,Jan 23,0
71,Jan 22,0
