,Response,Share of women surveyed
0,They aren't tested on animals,61%
1,They don't harm animals,51%
2,The don't contain any chemical ingredients,49%
3,They don't contain ingredients of animal origin,49%
4,They respect the humna nature,48%
5,They contain only natural ingredients,47%
6,They don't contain GMOs,44%
7,They don't pollute,43%
8,They don't contain parabens,43%
9,They contain only organic ingredients,37%
10,They don't contain sulphides,36%
11,They have a recyclable packaging,33%
12,They don't contain aluminum,32%
13,They contain essential oils,14%
14,They contain herbs,14%
