,Year,Gross domestic product in billion U.S. dollars
0,2024*,158.84
1,2023*,144.69
2,2022*,131.37
3,2021*,119.55
4,2020*,109.13
5,2019*,98.61
6,2018,87.93
7,2017,78.69
8,2016,69.19
9,2015,64.24
10,2014,61.55
11,2013,55.13
12,2012,50.42
13,2011,41.67
14,2010,40.0
15,2009,37.02
16,2008,35.9
17,2007,31.96
18,2006,25.83
19,2005,21.0
20,2004,18.06
21,2003,16.8
22,2002,14.76
23,2001,14.54
24,2000,14.14
25,1999,14.35
26,1998,15.74
27,1997,13.74
28,1996,13.57
29,1995,11.94
30,1994,9.42
31,1993,7.87
32,1992,11.33
33,1991,11.5
34,1990,12.18
35,1989,11.71
36,1988,11.81
37,1987,11.39
38,1986,10.39
39,1985,8.75
40,1984,8.79
