,State,Median income in U.S. dollars
0,District of Columbia,130291
1,Massachusetts,108348
2,New Jersey,105705
3,Maryland,105679
4,Connecticut,101272
5,New Hampshire,97112
6,Hawaii,96462
7,Colorado,95164
8,Washington,94709
9,Minnesota,93584
10,Virginia,93497
11,Alaska,91971
12,California,91377
13,New York,89475
14,Rhode Island,89373
15,Illinois,87771
16,Delaware,87148
17,North Dakota,87055
18,Utah,86152
19,Vermont,83458
20,Oregon,82540
21,Wisconsin,81829
22,Pennsylvania,81075
23,United States,80944
24,Nebraska,80062
25,Wyoming,79946
26,Kansas,79006
27,Iowa,78152
28,South Dakota,76826
29,Texas,76727
30,Maine,76316
31,Nevada,76124
32,Michigan,75703
33,Ohio,74911
34,Georgia,74833
35,Arizona,74468
36,Indiana,73876
37,Missouri,73457
38,Montana,73014
39,Idaho,72365
40,North Carolina,72049
41,Florida,71348
42,South Carolina,70537
43,Tennessee,69993
44,Oklahoma,68358
45,Kentucky,66183
46,Alabama,66171
47,Louisiana,65105
48,Arkansas,62387
49,New Mexico,61826
50,West Virginia,60920
51,Mississippi,58503
52,Puerto Rico,25388
