,Baseball Teams,Hot dog price in U.S. dollars
0,Washington Nationals,7.0
1,New York Mets,6.75
2,Los Angeles Dodgers,6.75
3,Chicago Cubs,6.5
4,San Francisco Giants,6.5
5,Seattle Mariners,6.5
6,Texas Rangers,6.0
7,Milwaukee Brewers,6.0
8,Kansas City Royals,5.75
9,Oakland Athletics,5.75
10,Houston Astros,5.5
11,Colorado Rockies,5.5
12,Cincinnati Reds,5.5
13,Boston Red Sox,5.25
14,San Diego Padres,5.25
15,Los Angeles Angels,5.0
16,Tampa Bay Rays,5.0
17,Detroit Tigers,5.0
18,St. Louis Cardinals,5.0
19,MLB league average,4.95
20,Chicago White Sox,4.5
21,Atlanta Braves,4.25
22,Cleveland Indians,4.25
23,Toronto Blue Jays,4.13
24,Minnesota Twins,4.0
25,Philadelphia Phillies,4.0
26,Pittsburgh Pirates,3.5
27,New York Yankees,3.0
28,Miami Marlins,3.0
29,Arizona Diamondbacks,2.0
30,Baltimore Orioles,1.5
