,stadium,Construction costs in million U.S. dollars
0,"MetLife Stadium New Jersey, United States",1600
1,"Yankees Stadium New York, United States",1500
2,"Olympic Stadium Montreal, Canada",1470
3,"AT&T Stadium Dallas, United States",1400
4,"Wembley Stadium London, England",1350
5,"Madison Square Garden New York, United States",1100
6,"Nissan Stadium Yokohama, Japan",990
7,"Stade de France Saint Denis, France",974
8,"Rogers Centre Toronto, Canada",930
9,"Jamsil Olympic Stadium Seoul, South Korea",923
