,Sweden Company,Turnover in million SEK
0,Skellefteå Stadshus AB,5253
1,Komatsu Forest AB,3026
2,Umeå Kommunföretag AB,2836
3,Eitech AB,1962
4,Ålö Holding AB,1795
5,Martinson Group AB,1795
6,Fastec Sverige AB,1463
7,Skellefteå Bil Holding AB,1331
8,Thorengruppen AB,1287
9,Wipro Infrastructure Engineering AB,1285
10,Umia Sweden AB,1172
11,Umia Holding AB,1172
12,Rekab Entreprenad AB,1030
13,Vitec Software Group AB (publ),1017
14,A3 Allmänna IT - och Telekom AB (publ),806
15,P.Wikström J:r AB,796
16,Norrlands Etanolkraft AB,732
17,Motorcentralen Förvaltning i Umeå AB,727
18,Balticgruppen AB,722
19,Kung Fu Invest AB,694
