,Year,"Deaths per 1,000 live births"
0,2020,5.0
1,2015,5.0
2,2010,6.0
3,2005,6.0
4,2000,6.0
5,1995,7.0
6,1990,9.0
7,1985,11.0
8,1980,15.0
9,1975,19.0
10,1970,25.0
11,1965,30.0
12,1960,37.0
13,1955,44.0
14,1950,54.58
15,1945,70.02
16,1940,86.09
17,1935,97.38
18,1930,125.3
19,1925,135.18
20,1920,238.97
21,1915,268.78
22,1910,262.85
23,1905,210.9
24,1900,296.75
25,1895,279.1
26,1890,269.56
27,1885,271.78
28,1880,279.28
29,1875,290.38
30,1870,297.7
31,1865,302.98
32,1860,307.04
33,1855,309.6
34,1850,313.26
35,1845,317.39
36,1840,323.07
37,1835,330.15
38,1830,333.47
