,Month,Number of affected brands
0,Apr '20,364
1,Jan '20,374
2,Oct '19,333
3,Jul '19,444
4,Apr '19,341
5,Jan '19,327
6,Oct '18,293
7,Jul '18,231
8,Apr '18,274
9,Jan '18,235
10,Oct '17,348
11,Jul '17,277
12,Apr '17,460
13,Jan '17,424
14,Oct '16,357
15,Jul '16,358
16,Apr '16,411
17,Jan '16,431
18,Oct '15,391
19,Jul '15,434
20,Apr '15,393
21,Jan '15,420
22,Oct '14,271
23,Jul '14,361
24,Apr '14,332
25,Jan '14,384
26,Oct '13,350
27,Jul '13,390
28,Apr '13,441
29,Jan '13,402
30,Oct '12,401
31,Jul '12,426
32,Apr '12,428
33,Jan '12,370
34,Oct '11,311
35,Jul '11,317
36,Apr '11,333
37,Jan '11,335
38,Oct '10,317
39,Jul '10,274
40,Apr '10,270
41,Jan '10,265
42,Oct '09,356
43,Jul '09,261
44,Apr '09,273
45,Jan '09,294
