,Month,Number of hospitalizations
0,Dec 14,59
1,Dec 13,126
2,Dec 12,133
3,Dec 11,206
4,Dec 10,160
5,Dec 9,160
6,Dec 8,154
7,Dec 7,198
8,Dec 6,125
9,Dec 5,132
10,Dec 4,180
11,Dec 3,178
12,Dec 2,139
13,Dec 1,133
14,Nov 30,156
15,Nov 29,103
16,Nov 28,94
17,Nov 27,162
18,Nov 26,174
19,Nov 25,149
20,Nov 24,133
21,Nov 23,188
22,Nov 22,152
23,Nov 21,128
24,Nov 20,154
25,Nov 19,175
26,Nov 18,179
27,Nov 17,183
28,Nov 16,235
29,Nov 15,138
30,Nov 14,136
31,Nov 13,225
32,Nov 12,195
33,Nov 11,216
34,Nov 10,220
35,Nov 9,265
36,Nov 8,158
37,Nov 7,145
38,Nov 6,222
39,Nov 5,226
40,Nov 4,235
41,Nov 3,230
42,Nov 2,366
43,Nov 1,213
44,Oct 31,195
45,Oct 30,269
46,Oct 29,255
47,Oct 28,264
48,Oct 27,262
49,Oct 26,319
50,Oct 25,222
51,Oct 24,192
52,Oct 23,303
53,Oct 22,265
54,Oct 21,267
55,Oct 20,240
56,Oct 19,281
57,Oct 18,180
58,Oct 17,210
59,Oct 16,223
60,Oct 15,212
61,Oct 14,202
62,Oct 13,244
63,Oct 12,235
64,Oct 11,156
65,Oct 10,144
66,Oct 9,206
67,Oct 8,155
68,Oct 7,145
69,Oct 6,155
70,Oct 5,163
71,Oct 4,102
72,Oct 3,135
73,Oct 2,120
74,Oct 1,104
75,Sep 30,108
76,Sep 29,99
77,Sep 28,108
78,Sep 27,76
79,Sep 26,19
80,Sep 25,89
81,Sep 24,101
82,Sep 23,91
83,Sep 22,69
84,Sep 21,80
85,Sep 20,46
86,Sep 19,54
87,Sep 18,68
88,Sep 17,51
89,Sep 16,44
90,Sep 15,38
91,Sep 14,49
92,Sep 13,24
93,Sep 12,19
94,Sep 11,42
95,Sep 10,18
96,Sep 9,32
97,Sep 8,20
98,Sep 7,27
99,Sep 6,22
100,Sep 5,16
101,Sep 4,13
102,Sep 3,16
103,Sep 2,9
104,Sep 1,2
105,Aug 31,9
106,Aug 30,6
107,Aug 29,2
108,Aug 28,6
109,Aug 27,3
110,Aug 26,5
111,Aug 25,10
112,Aug 24,7
113,Aug 23,1
114,Aug 22,9
115,Aug 21,8
116,Aug 20,7
117,Aug 19,2
118,Aug 18,6
119,Aug 17,11
120,Aug 16,10
121,Aug 15,8
122,Aug 14,10
123,Aug 13,9
124,Aug 12,11
125,Aug 11,8
126,Aug 10,0
127,Aug 9,5
128,Aug 8,2
129,Aug 7,6
130,Aug 6,2
131,Aug 5,1
132,Aug 4,2
133,Aug 3,7
134,Aug 2,3
135,Aug 1,4
136,Jul 31,9
137,Jul 30,12
138,Jul 29,4
139,Jul 28,6
140,Jul 27,3
141,Jul 26,1
142,Jul 25,5
143,Jul 24,3
144,Jul 23,5
145,Jul 22,3
146,Jul 21,1
147,Jul 20,2
148,Jul 19,4
149,Jul 18,2
150,Jul 17,3
151,Jul 16,0
152,Jul 15,1
153,Jul 14,1
154,Jul 13,4
155,Jul 12,1
156,Jul 11,0
157,Jul 10,1
158,Jul 9,2
159,Jul 8,1
160,Jul 7,2
161,Jul 6,0
162,Jul 5,1
163,Jul 4,0
164,Jul 3,0
165,Jul 2,0
166,Jul 1,1
167,Jun 30,1
168,Jun 29,0
169,Jun 28,1
170,Jun 27,2
171,Jun 26,0
172,Jun 25,3
173,Jun 24,2
174,Jun 23,2
175,Jun 22,4
176,Jun 21,2
177,Jun 20,3
178,Jun 19,11
179,Jun 18,3
180,Jun 17,4
181,Jun 16,4
182,Jun 15,3
183,Jun 14,5
184,Jun 13,9
185,Jun 12,6
186,Jun 11,3
187,Jun 10,4
188,Jun 9,4
189,Jun 8,3
190,Jun 7,4
191,Jun 6,3
192,Jun 5,11
193,Jun 4,12
194,Jun 3,9
195,Jun 2,6
196,Jun 1,9
197,May 31,8
198,May 30,5
199,May 29,9
200,May 28,16
201,May 27,7
202,May 26,10
203,May 25,8
204,May 24,13
205,May 23,10
206,May 22,9
207,May 21,13
208,May 20,14
209,May 19,34
210,May 18,27
211,May 17,15
212,May 16,45
213,May 15,35
214,May 14,27
215,May 13,52
216,May 12,35
217,May 11,36
218,May 10,22
219,May 9,58
220,May 8,35
221,May 7,39
222,May 6,27
223,May 5,89
224,May 4,42
225,May 3,44
226,May 2,97
227,May 1,85
228,Apr 30,84
229,Apr 29,76
230,Apr 28,88
231,Apr 27,65
232,Apr 26,75
233,Apr 25,100
234,Apr 24,123
235,Apr 23,137
236,Apr 22,124
237,Apr 21,118
238,Apr 20,75
239,Apr 19,110
240,Apr 18,129
241,Apr 17,156
242,Apr 16,182
243,Apr 15,188
244,Apr 14,210
245,Apr 13,147
246,Apr 12,196
247,Apr 11,189
248,Apr 10,225
249,Apr 9,237
250,Apr 8,308
251,Apr 7,292
252,Apr 6,260
253,Apr 5,253
254,Apr 4,336
255,Apr 3,502
256,Apr 2,625
257,Apr 1,447
258,Mar 31,722
259,Mar 30,507
260,Mar 29,529
261,Mar 28,454
262,Mar 27,349
263,Mar 26,315
264,Mar 25,341
