,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3%
2,2022*,3%
3,2021*,3%
4,2020*,3.11%
5,2019*,2.74%
6,2018,2.22%
7,2017,1.63%
8,2016,-0.02%
9,2015,0.8%
10,2014,4.52%
11,2013,5.23%
12,2012,4.5%
13,2011,4.88%
14,2010,5.67%
15,2009,7.84%
16,2008,13.42%
17,2007,9.36%
18,2006,11.48%
19,2005,13.79%
20,2004,12.32%
21,2003,9.44%
22,2002,9.17%
23,2001,11.25%
24,2000,10.96%
25,1999,10.05%
26,1998,11.67%
27,1997,13.24%
28,1996,17.52%
29,1995,23.18%
30,1994,13.54%
31,1993,9.78%
32,1992,21.81%
33,1991,28.67%
34,1990,19.07%
35,1989,16.49%
36,1988,20.85%
37,1987,16.81%
38,1986,11.79%
39,1985,15.13%
40,1984,12.01%
