,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",30.88
1,"Arts, entertainment, recreation, accommodation, and food services",23.37
2,Professional and business services,18.08
3,Government and government enterprises,15.55
4,Retail trade,11.87
5,"Educational services, health care, and social assistance",10.86
6,Manufacturing,7.66
7,Construction,7.22
8,Transportation and warehousing,6.79
9,Wholesale trade,6.79
10,Information,5.53
11,"Mining, quarrying, and oil and gas extraction",4.19
12,Utilities,2.07
13,"Agriculture, forestry, fishing, and hunting",0.56
