,Month,Number of new cases
0,Mar 01,0
1,Mar 02,0
2,Mar 03,1
3,Mar 04,0
4,Mar 05,0
5,Mar 06,0
6,Mar 07,0
7,Mar 08,2
8,Mar 09,3
9,Mar 10,2
10,Mar 11,2
11,Mar 12,6
12,Mar 13,1
13,Mar 14,9
14,Mar 15,4
15,Mar 16,4
16,Mar 17,26
17,Mar 18,11
18,Mar 19,15
19,Mar 20,25
20,Mar 21,13
21,Mar 22,15
22,Mar 23,41
23,Mar 24,17
24,Mar 25,24
25,Mar 26,23
26,Mar 27,36
27,Mar 28,25
28,Mar 29,42
29,Mar 30,29
30,Mar 31,22
31,Apr 1,48
32,Apr 2,12
33,Apr 3,35
34,Apr 4,16
35,Apr 5,24
36,Apr 6,9
37,Apr 7,6
38,Apr 8,29
39,Apr 9,12
40,Apr 10,23
41,Apr 11,18
42,Apr 12,21
43,Apr 13,2
44,Apr 14,4
45,Apr 15,9
46,Apr 16,9
47,Apr 17,7
48,Apr 18,30
49,Apr 19,15
50,Apr 20,12
51,Apr 21,9
52,Apr 22,13
53,Apr 23,17
54,Apr 24,6
55,Apr 25,20
56,Apr 26,8
57,Apr 27,6
58,Apr 28,18
59,Apr 29,13
60,Apr 30,9
61,May 1,12
62,May 2,1
63,May 3,8
64,May 4,17
65,May 5,0
66,May 6,4
67,May 7,9
68,May 8,19
69,May 9,2
70,May 10,9
71,May 11,7
72,May 12,4
73,May 13,1
74,May 14,11
75,May 15,8
76,May 16,27
77,May 17,11
78,May 18,1
79,May 19,3
80,May 20,4
81,May 21,9
82,May 22,5
83,May 23,16
84,May 24,1
85,May 25,2
86,May 26,4
87,May 27,4
88,May 28,4
89,May 29,3
90,May 30,1
91,May 31,1
92,Jun 1,0
93,Jun 2,5
94,Jun 3,8
95,Jun 4,3
96,Jun 5,3
97,Jun 6,1
98,Jun 7,2
99,Jun 8,0
100,Jun 9,1
101,Jun 10,3
102,Jun 11,2
103,Jun 12,2
104,Jun 13,1
105,Jun 14,0
106,Jun 15,0
107,Jun 16,1
108,Jun 17,6
109,Jun 18,4
110,Jun 19,2
111,Jun 20,1
112,Jun 21,0
113,Jun 22,0
114,Jun 23,0
115,Jun 24,0
116,Jun 25,0
117,Jun 26,1
118,Jun 27,3
119,Jun 28,1
120,Jun 29,1
121,Jun 30,1
122,Jul 1,3
123,Jul 2,1
124,Jul 3,0
125,Jul 4,1
126,Jul 5,1
127,Jul 6,3
128,Jul 9,13
129,Jul 10,11
130,Jul 11,8
131,Jul 12,0
132,Jul 13,1
133,Jul 15,4
134,Jul 16,1
135,Jul 17,6
136,Jul 18,4
137,Jul 19,3
138,Jul 20,0
139,Jul 21,1
140,Jul 22,4
141,Jul 23,6
142,Jul 24,2
143,Jul 25,1
144,Jul 26,13
145,Aug 1,7
146,Aug 2,5
147,Aug 6,18
148,Aug 7,6
149,Aug 8,7
150,Aug 9,2
151,Aug 12,10
152,Aug 13,4
153,Aug 14,1
154,Aug 20,1
155,Aug 21,3
156,Aug 22,3
157,Aug 23,4
158,Aug 24,0
159,Aug 30,12
160,Aug 31,3
161,Sep 5,9
162,Sep 6,3
163,Sep 7,1
164,Sep 30,95
165,Oct 2,77
166,Oct 3,74
167,Oct 8,109
168,Oct 9,137
169,Oct 12,95
170,Oct 17,188
171,Oct 18,58
172,Oct 19,44
173,Oct 20,115
174,Oct 30,284
175,Oct 31,215
176,Nov 01,242
177,Nov 02,132
178,Nov 03,171
179,Nov 04,313
180,Nov 05,367
181,Nov 06,357
182,Nov 07,404
183,Nov 08,215
184,Nov 09,92
185,Nov 10,208
186,Nov 11,453
187,Nov 12,533
188,Nov 18,442
189,Nov 19,366
190,Nov 20,380
