,Year,Number of people in thousands
0,1/8/2021,595.01
1,1/7/2021,591.6
2,1/6/2021,586.76
3,1/5/2021,581.86
4,1/4/2021,577.2
5,1/3/2021,574.9
6,1/2/2021,571.33
7,1/1/2021,566.37
8,12/29/2020,549.26
9,12/26/2020,536.33
10,12/23/2020,516.42
11,12/21/2020,501.9
12,12/18/2020,484.95
13,12/15/2020,465.05
14,12/12/2020,451.48
15,12/9/2020,425.82
16,12/6/2020,405.61
17,12/3/2020,381.0
18,11/30/2020,353.19
19,11/27/2020,326.66
20,11/24/2020,304.19
21,11/21/2020,287.31
22,11/18/2020,261.39
23,11/15/2020,243.83
24,11/12/2020,224.92
25,11/9/2020,206.79
26,11/6/2020,195.97
27,11/3/2020,181.18
28,10/31/2020,172.51
29,10/28/2020,159.85
30,10/25/2020,149.74
31,10/22/2020,141.09
32,10/19/2020,132.08
33,10/16/2020,127.08
34,10/13/2020,120.52
35,10/10/2020,116.63
36,10/8/2020,113.11
37,10/6/2020,109.9
38,10/4/2020,108.14
39,10/2/2020,105.58
40,9/30/2020,102.48
41,9/28/2020,99.34
42,9/26/2020,97.55
43,9/24/2020,94.88
44,9/22/2020,92.17
45,9/20/2020,89.77
46,9/18/2020,88.24
47,9/14/2020,43.24
48,9/11/2020,41.01
49,9/8/2020,40.45
50,9/5/2020,39.63
51,9/1/2020,37.87
52,8/28/2020,36.68
53,8/24/2020,35.29
54,8/20/2020,33.57
55,8/16/2020,32.33
56,8/12/2020,30.59
57,8/8/2020,29.29
58,8/4/2020,27.75
59,7/31/2020,26.61
60,7/27/2020,25.64
61,7/23/2020,24.66
62,7/19/2020,22.49
63,7/15/2020,21.8
64,7/11/2020,21.13
65,7/7/2020,20.21
66,7/3/2020,19.36
67,6/29/2020,18.81
68,6/25/2020,17.39
69,6/21/2020,16.74
70,6/17/2020,16.07
71,6/5/2020,13.92
