,State,Number of stores
0,Texas,603
1,Florida,386
2,California,320
3,North Carolina,218
4,Georgia,216
5,Illinois,191
6,Ohio,176
7,Pennsylvania,164
8,Missouri,158
9,Tennessee,152
10,Virginia,151
11,Alabama,144
12,Louisiana,138
13,Oklahoma,137
14,Michigan,128
15,Indiana,127
16,Arkansas,127
17,Arizona,125
18,South Carolina,123
19,New York,119
20,Colorado,109
21,Kentucky,103
22,Wisconsin,99
23,Mississippi,86
24,Kansas,84
25,Minnesota,81
26,New Jersey,71
27,Iowa,69
28,Washington,67
29,Utah,62
30,Maryland,62
31,New Mexico,53
32,Massachusetts,52
33,Nevada,50
34,Nebraska,47
35,Oregon,46
36,West Virginia,44
37,Puerto Rico,37
38,Connecticut,35
39,New Hampshire,28
40,Idaho,27
41,Maine,25
42,North Dakota,17
43,South Dakota,17
44,Montana,16
45,Wyoming,14
46,Hawaii,12
47,Delaware,10
48,Rhode Island,9
49,Alaska,9
50,Vermont,6
51,Washington D.C.,5
52,U.S. total,5355
