,Year,Gross domestic product in billion international dollars
0,2021*,475.48
1,2020*,446.27
2,2019,476.81
3,2018,461.33
4,2017,439.72
5,2016,421.16
6,2015,408.34
7,2014,400.07
8,2013,390.22
9,2012,383.4
10,2011,373.64
11,2010,355.6
12,2009,345.16
13,2008,355.95
14,2007,344.14
15,2006,323.09
16,2005,303.13
17,2004,287.52
18,2003,272.53
19,2002,265.07
20,2001,256.7
21,2000,248.05
22,1999,234.7
23,1998,223.41
24,1997,213.29
25,1996,205.37
26,1995,196.96
27,1994,187.9
28,1993,179.65
29,1992,174.58
30,1991,167.19
31,1990,156.34
32,1989,144.42
33,1988,133.77
34,1987,127.99
35,1986,122.83
36,1985,117.65
37,1984,111.55
