,Cause of death,Number of deaths
0,Neoplasms,46627
1,Diseases of the circulatory system,37769
2,Diseases of the respiratory system,14038
3,Mental and behavioural disorders,13002
4,Diseases of the nervous system,8968
5,External causes of injury and poisoning,8627
6,"Symptoms, signs and ill-defined conditions",6557
7,Diseases of the digestive system,4722
8,"Endocrine, nutritional and metabolic diseases",3568
9,Diseases of the genitourinary system,3359
10,Infectious and parasitic diseases,3322
11,Diseases of the musculoskeletal system and connective tissue,1127
12,Blood/bloodforming organs and immune mechanism diseases,543
13,Congenital anomalies,507
14,Conditions originating in the perinatal period,328
15,Diseases of the skin and subcutaneous tissue,294
16,"Complications of pregnancy, childbirth and the puerperium",5
