,Industry,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,254294
1,Manufacturing,199234
2,"Mining, quarrying, and oil and gas extraction",145909
3,Construction,142530
4,Health care and social assistance,142028
5,Public administration,134370
6,Finance and insurance,133599
7,"Professional, scientific and technical services",120820
8,Educational services,104771
9,Wholesale trade,103082
10,Retail trade,102619
11,Transportation and warehousing,89599
12,Information and cultural industries,64323
13,"Administrative and support, waste management and remediation services",52649
14,Accommodation and food services,45160
15,Utilities,43668
16,"Agriculture, forestry, fishing and hunting",40058
17,Other services (except public administration),38127
18,"Arts, entertainment and recreation",15699
19,Management of companies and enterprises,9303
