,city and country,Turnover in million DKK
0,Takeda Pharma A/S,84741
1,Novo Nordisk A/S,47615
2,Højbjerg Maskinfabrik A/S,44552
3,Ørsted Wind Power A/S,28469
4,Danske Bank A/S,26288
5,Ball A/S,23722
6,Lego A/S,10510
7,A.P Møller og Hustru Chastine Mc-Kinney Møllers Fond Til Almene Formaal,10136
8,Lego System A/S,9223
9,Pandora A/S,6582
10,Lundbeck A/S,5289
11,Coloplast A/S,3797
12,Augustinus Fonden,3011
13,Chr. Augustinus Fabrikker Aktieselskab,2751
14,Sund og Bælt Holding A/S,2261
15,ISS World Services A/S,2176
16,Bestseller A/S,2175
17,Jysk Holding A/S,2149
18,Siemens Gamesa Renewable Energy A/S,2144
19,Danfoss Power Solutions Holding ApS,2134
