,Year,Gross domestic product in billion international dollars
0,2021*,45.51
1,2020*,41.81
2,2019*,43.91
3,2018,41.91
4,2017,39.16
5,2016,37.35
6,2015,35.44
7,2014,35.68
8,2013,33.64
9,2012,29.69
10,2011,27.89
11,2010,25.76
12,2009,23.46
13,2008,25.21
14,2007,23.27
15,2006,20.93
16,2005,18.75
17,2004,17.39
18,2003,16.49
19,2002,15.47
20,2001,14.36
21,2000,14.02
22,1999,13.44
23,1998,12.08
24,1997,11.86
25,1996,10.8
26,1995,10.02
27,1994,9.17
28,1993,9.05
29,1992,8.5
30,1991,8.32
31,1990,7.58
32,1989,6.72
33,1988,6.17
34,1987,4.83
35,1986,4.1
36,1985,3.7
37,1984,3.33
