,Year,GDP per capita in U.S. dollars
0,2025*,30678.49
1,2024*,29857.06
2,2023*,28983.01
3,2022*,27914.26
4,2021*,26273.52
5,2020*,23116.71
6,2019,29314.11
7,2018,30668.37
8,2017,28236.77
9,2016,27318.05
10,2015,31355.74
11,2014,41947.16
12,2013,44860.43
13,2012,47772.21
14,2011,47092.3
15,2010,35437.22
16,2009,31287.18
17,2008,42678.82
18,2007,36692.72
19,2006,34941.38
20,2005,29514.11
21,2004,24294.89
22,2003,20821.91
23,2002,18845.72
24,2001,18680.43
25,2000,20511.08
26,1999,16112.08
27,1998,14526.11
28,1997,19120.87
29,1996,19282.33
30,1995,18292.06
31,1994,16140.9
32,1993,16664.55
33,1992,17386.22
34,1991,15773.38
35,1990,15422.57
36,1989,13457.08
37,1988,12241.23
38,1987,13281.59
39,1986,11946.92
40,1985,19979.82
