,region of Finland,Area in square kilometers
0,Lapland,92674.72
1,North Ostrobothnia,36818.43
2,Kainuu,20196.96
3,North Karelia,17761.0
4,North Savo,16769.65
5,Central Finland,16703.18
6,South Savo,14256.33
7,South Ostrobothnia,13444.15
8,Pirkanmaa,12587.26
9,Southwest Finland,10664.53
10,Uusimaa,9098.33
11,Satakunta,7820.31
12,Ostrobothnia,7755.05
13,South Karelia,5326.56
14,Kanta-Häme,5198.75
15,Kymenlaakso,5149.12
16,Päijät-Häme,5123.73
17,Central Ostrobothnia,5019.55
18,Åland,1553.48
19,Total,303921.09
