,Response,Percentage of black adults
0,West Virginia,47.4%
1,Mississipi,46%
2,Tennessee,45%
3,Alabama,45%
4,North Carolina,44.8%
5,Arkansas,44.7%
6,South Carolina,43.7%
7,Louisiana,43.6%
8,Iowa,43.4%
9,Wisconsin,42.9%
10,Virginia,42.8%
11,Nebraska,42.6%
12,Missouri,42%
13,Michigan,41.8%
14,Oklahoma,41.7%
15,Pennsylvania,41.5%
16,Maryland,41%
17,Kansas,41%
18,Illinois,40.5%
19,Ohio,40.1%
20,Kentucky,39.9%
21,Indiana,39.9%
22,Delaware,39.8%
23,Alaska,39.8%
24,Georgia,39.2%
25,Connecticut,38.6%
26,Nevada,38.3%
27,Texas,38.3%
28,D.C.,38%
29,Florida,36.6%
30,Rhode Island,36.2%
31,California,35.6%
32,Arizona,35%
33,New York,35%
34,Wyoming,35%
35,Vermont,34.5%
36,New Mexico,33.5%
37,Minnesota,32.9%
38,Washington,32.4%
39,Utah,32.2%
40,Hawaii,31.5%
41,South Dakota,30.8%
42,Oregon,30.8%
43,Massachusetts,29.7%
44,Colorado,29.4%
45,Maine,29%
46,North Dakota,27.7%
47,Montana,25%
48,New Hampshire,24.7%
