,Month,Exchange rate
0,Sep 2020,10.78
1,Aug 2020,10.58
2,Jul 2020,10.65
3,Jun 2020,10.73
4,May 2020,10.99
5,Apr 2020,11.34
6,Mar 2020,11.29
7,Feb 2020,10.13
8,Jan 2020,9.94
9,Dec 2019,10.05
10,Nov 2019,10.11
11,Oct 2019,10.12
12,Sep 2019,9.92
13,Aug 2019,9.97
14,Jul 2019,9.66
15,Jun 2019,9.74
16,May 2019,9.78
17,Apr 2019,9.62
18,Mar 2019,9.72
19,Feb 2019,9.74
20,Jan 2019,9.76
21,Dec 2018,9.79
22,Nov 2018,9.63
23,Oct 2018,9.48
24,Sep 2018,9.62
25,Aug 2018,9.62
26,Jul 2018,9.5
27,Jun 2018,9.47
28,May 2018,9.57
