,Month,Sales in billion U.S. dollars
0,Sep '20,37.86
1,Aug' 20,36.23
2,Jul '20,34.96
3,Jun '20,34.12
4,May '20,34.33
5,Apr '20,34.4
6,Mar '20,34.85
7,Feb '20,34.5
8,Jan '20,35.34
9,Dec '19,36.17
10,Nov '19,36.85
11,Oct '19,36.84
12,Sep '19,35.79
13,Aug '19,34.53
14,Jul '19,33.55
15,Jun '19,32.86
16,May '19,33.04
17,Apr '19,32.44
18,Mar '19,32.62
19,Feb '19,32.87
20,Jan '19,35.48
21,Dec '18,38.22
22,Nov '18,41.11
23,Oct '18,42.11
24,Sep '18,41.62
25,Aug '18,40.66
26,Jul '18,39.5
27,Jun '18,39.31
28,May '18,38.72
29,Apr '18,37.61
30,Mar '18,37.1
31,Feb '18,36.77
32,Jan '18,37.6
33,Dec '17,37.99
34,Nov '17,37.69
35,Oct '17,37.09
36,Sep '17,35.95
37,Aug '17,34.96
38,Jul '17,33.65
39,Jun '17,32.64
40,May '17,31.93
41,Apr '17,31.35
42,Mar '17,30.89
43,Feb '17,30.39
44,Jan '17,30.64
45,Dec '16,31.01
46,Nov '16,31.02
47,Oct '16,30.43
48,Sep '16,29.43
49,Aug '16,28.24
50,Jul '16,27.08
51,Jun '16,26.41
52,May '16,26.07
53,Apr '16,25.85
54,Mar '16,26.11
55,Feb '16,26.02
56,Jan '16,26.88
57,Dec '15,27.62
58,Nov '15,28.88
59,Oct '15,28.97
60,Sep '15,28.41
61,Aug '15,27.88
62,Jul '15,27.86
63,Jun '15,27.99
64,May '15,28.11
65,Apr '15,27.61
66,Mar '15,27.72
67,Feb '15,27.74
68,Jan '15,28.55
69,Dec '14,29.13
70,Nov '14,29.77
71,Oct '14,29.68
72,Sep '14,29.23
73,Aug '14,28.46
74,Jul '14,28.07
75,Jun '14,27.4
76,May '14,26.86
77,Apr '14,26.34
78,Mar '14,26.16
79,Feb '14,26.04
80,Jan '14,26.26
81,Dec '13,26.65
82,Nov '13,27.19
83,Oct '13,27.09
84,Sep '13,26.85
85,Aug '13,26.1
86,Jul '13,25.53
87,Jun '13,24.88
88,May '13,24.69
89,Apr '13,23.62
90,Mar '13,23.48
91,Feb '13,23.23
92,Jan '13,24.17
93,Dec '12,24.74
94,Nov '12,25.51
95,Oct '12,25.22
96,Sep '12,24.79
97,Aug '12,24.3
98,Jul '12,24.29
99,Jun '12,24.36
100,May '12,24.4
101,Apr '12,24.06
102,Mar '12,23.28
103,Feb '12,22.95
104,Jan '12,23.16
