,State,Average number of people infected
0,Wisconsin,0.88
1,Oregon,0.91
2,Michigan,0.92
3,Montana,0.93
4,Minnesota,0.94
5,Oklahoma,0.94
6,Nevada,0.94
7,Wyoming,0.95
8,South Dakota,0.97
9,Idaho,0.98
10,Alaska,0.98
11,Kentucky,0.99
12,Kansas,0.99
13,Rhode Island,1.01
14,Ohio,1.02
15,New Hampshire,1.03
16,Connecticut,1.03
17,Pennsylvania,1.03
18,Missouri,1.03
19,California,1.03
20,North Dakota,1.04
21,Texas,1.04
22,New Mexico,1.04
23,West Virginia,1.05
24,Hawaii,1.05
25,Mississippi,1.06
26,Nebraska,1.06
27,Delaware,1.07
28,D.C .,1.07
29,North Carolina,1.07
30,Tennessee,1.07
31,Virginia,1.08
32,Utah,1.08
33,Arkansas,1.09
34,Colorado,1.09
35,Vermont,1.1
36,Maryland,1.1
37,Louisiana,1.1
38,Alabama,1.11
39,Illinois,1.11
40,Arizona,1.11
41,Maine,1.12
42,Georgia,1.12
43,Indiana,1.12
44,Iowa,1.12
45,Massachusetts,1.13
46,Washington,1.13
47,New Jersey,1.14
48,South Carolina,1.15
49,Florida,1.16
50,New York,1.17
