,Year,GDP per capita in U.S. dollars
0,2025,1406.44
1,2024,1327.95
2,2023,1254.91
3,2022,1189.05
4,2021,1132.13
5,2020,1105.55
6,2019,1079.68
7,2018,1036.93
8,2017,1002.87
9,2016,966.29
10,2015,947.9
11,2014,1030.74
12,2013,996.78
13,2012,882.48
14,2011,765.33
15,2010,725.77
16,2009,683.86
17,2008,671.87
18,2007,541.79
19,2006,481.67
20,2005,450.4
21,2004,425.48
22,2003,399.48
23,2002,383.7
24,2001,378.88
25,2000,378.49
26,1999,363.11
27,1998,303.01
28,1997,211.07
29,1996,179.54
30,1995,147.75
31,1994,129.72
32,1993,125.67
33,1992,140.48
34,1991,157.93
35,1990,138.79
36,1989,181.66
37,1988,221.86
38,1987,236.58
39,1986,492.45
40,1985,399.69
