,Year,GDP per capita in U.S. dollars
0,2024*,50637.0
1,2023*,48460.64
2,2022*,46453.57
3,2021*,44637.43
4,2020*,43043.42
5,2019*,40846.78
6,2018*,39303.96
7,2017,38342.74
8,2016,38804.86
9,2015,34568.93
10,2014,38156.33
11,2013,40490.16
12,2012,48632.9
13,2011,48168.8
14,2010,44673.61
15,2009,41014.19
16,2008,39453.49
17,2007,35342.48
18,2006,35463.87
19,2005,37223.77
20,2004,37696.72
21,2003,34831.2
22,2002,32300.67
23,2001,33850.88
24,2000,38535.59
25,1999,36039.08
26,1998,31915.74
27,1997,35034.54
28,1996,38450.96
29,1995,43441.33
30,1994,39219.81
31,1993,35698.91
32,1992,31429.62
33,1991,28923.31
34,1990,25379.6
35,1989,24830.99
36,1988,25065.13
37,1987,20755.51
38,1986,17118.39
39,1985,11580.2
40,1984,10981.92
