,Year,GDP in billion international dollars
0,2021*,982.62
1,2020*,935.91
2,2019,1005.34
3,2018,970.54
4,2017,923.47
5,2016,880.76
6,2015,853.04
7,2014,828.03
8,2013,801.57
9,2012,788.75
10,2011,781.97
11,2010,754.28
12,2009,735.73
13,2008,757.96
14,2007,727.69
15,2006,682.89
16,2005,640.66
17,2004,608.84
18,2003,581.35
19,2002,569.86
20,2001,559.77
21,2000,535.29
22,1999,502.49
23,1998,471.6
24,1997,445.55
25,1996,419.83
26,1995,398.36
27,1994,379.65
28,1993,360.86
29,1992,348.11
30,1991,335.03
31,1990,316.31
32,1989,292.67
33,1988,269.55
34,1987,248.96
35,1986,238.54
36,1985,226.74
37,1984,214.1
