,Year,Inflation rate compared to previous year
0,2025,3.5%
1,2024*,3.5%
2,2023*,3.5%
3,2022*,3.5%
4,2021*,4.05%
5,2020*,4.37%
6,2019,5.38%
7,2018,4.95%
8,2017,3.85%
9,2016,3.52%
10,2015,4%
11,2014,6.04%
12,2013,7.14%
13,2012,7.19%
14,2011,8.08%
15,2010,5.46%
16,2009,3.69%
17,2008,19.83%
18,2007,11.13%
19,2006,9.14%
20,2005,9.6%
21,2004,8.47%
22,2003,5.3%
23,2002,3.75%
24,2001,7.36%
25,2000,11.55%
26,1999,11.21%
27,1998,13.05%
28,1997,9.19%
29,1996,11.65%
30,1995,11.12%
31,1994,3.7%
32,1993,13.5%
33,1992,21.9%
34,1991,116.6%
35,1990,"3,004.1%"
36,1989,"7,428.7%"
37,1988,"4,775.2%"
38,1987,"13,109.5%"
39,1986,885.2%
40,1985,571.4%
