,State,Donald J. Trump,Ted Cruz*,Marco Rubio*,John Kasich*
0,Total,1447,551,167,161
1,Alabama,36,13,1,0
2,Alaska,11,12,5,0
3,Arizona,58,0,0,0
4,Arkansas,16,15,9,0
5,California,172,0,0,0
6,Colorado,0,30,0,0
7,Connecticut,28,0,0,0
8,Delaware,16,0,0,0
9,District of Columbia,0,0,10,9
10,Florida,99,0,0,0
11,Georgia,42,18,16,0
12,Hawaii,11,7,1,0
13,Idaho,12,20,0,0
14,Illinois,54,9,0,6
15,Indiana,57,0,0,0
16,Iowa,7,8,7,1
17,Kansas,9,24,6,1
18,Kentucky,17,15,7,7
19,Louisiana,28,18,0,0
20,Maine,9,12,0,2
21,Maryland,38,0,0,0
22,Massachusetts,22,4,8,8
23,Michigan,25,17,0,17
24,Minnesota,8,13,17,0
25,Mississippi,25,15,0,0
26,Missouri,37,15,0,0
27,Montana,27,0,0,0
28,Nebraska,36,0,0,0
29,Nevada,14,6,7,1
30,New Hampshire,11,3,1,4
31,New Jersey,51,0,0,0
32,New Mexico,24,0,0,0
33,New York,89,0,0,6
34,North Carolina,29,27,6,9
35,Northern Mariana Islands,9,0,0,0
36,Ohio,0,0,0,66
37,Oklahoma,13,15,12,0
38,Oregon,18,5,0,5
39,Pennsylvania,17,0,0,0
40,Puerto Rico,0,0,23,0
41,Rhode Island,12,2,0,5
42,South Carolina,50,0,0,0
43,South Dakota,29,0,0,0
44,Tennessee,33,16,9,0
45,Texas,48,104,3,0
46,Utah,0,40,0,0
47,Vermont,8,0,0,8
48,Virgin Islands,1,1,2,0
49,Virginia,17,8,16,5
50,Washington,40,0,0,0
51,West Virginia,30,0,0,1
52,Wisconsin,6,36,0,0
53,Wyoming,1,23,1,0
