,product industry class,Change in percent from previous year
0,Goods Returned Or Reimported,11.58%
1,Beverages & Tobacco,5.53%
2,Livestock & Livestock Products,4.55%
3,"Special Classification Provision, Nspf",3.05%
4,Transportation Equipment,2.49%
5,Chemicals,2.02%
6,Food & Kindred Products,1.86%
7,Textile Mill Products,1.6%
8,Agricultural Products,1.55%
9,Plastic & Rubber Products,1.19%
10,Apparel & Accessories,0.61%
11,"Printing, Publishing & Similar Products",0.24%
12,"Forestry Products, Nspf",0.21%
13,"Machinery, Except Electrical",-0.01%
14,Miscellaneous Manufactured Commodities,-0.2%
15,Leather & Allied Products,-0.37%
16,"Electrical Equipment, Appliances & Components",-0.51%
17,Used Or Second-H& Merch&ise,-0.75%
18,Fabricated Metal Products,-1.98%
19,"Fish, Fresh Or Chilled; & Other Marine Products",-2.7%
20,Paper Products,-4%
21,Scrap & Waste,-4.82%
22,Nonmetallic Mineral Products,-5.18%
23,Furniture & Fixtures,-6.79%
24,Computers & Electronic Products,-6.97%
25,Textile & Fabrics,-6.98%
26,Minerals & Ores,-7.53%
27,Petroleum & Coal Products,-9.59%
28,Primary Metal Products,-10.79%
29,Oil & Gas,-14.03%
30,Wood Products,-14.73%
