,Country,Percentage of population
0,Israel,17.9%
1,United States,17.8%
2,Korea,17.4%
3,Turkey**,17.2%
4,Lithuania*,16.9%
5,Latvia *,16.8%
6,Mexico*,16.6%
7,Chile*,16.5%
8,Japan**,15.7%
9,Estonia *,15.7%
10,Spain *,15.5%
11,Greece *,14.4%
12,Italy*,13.7%
13,Russia,12.7%
14,Portugal *,12.5%
15,Australia*,12.1%
16,Canada,12.1%
17,United Kingdom,11.9%
18,Luxembourg*,11.1%
19,Germany *,10.4%
20,Poland *,10.3%
21,Austria *,9.8%
22,Belgium *,9.7%
23,Sweden,9.3%
24,Ireland*,9.2%
25,Switzerland**,9.1%
26,Slovenia *,8.7%
27,Slovak Republic *,8.5%
28,Norway,8.4%
29,Netherlands***,8.3%
30,France *,8.3%
31,Hungary *,7.8%
32,Finland,6.3%
33,Denmark *,5.8%
34,Czech Republic *,5.6%
35,Iceland **,5.4%
