,association football club,Number of Instagram followers in millions
0,Real Madrid CF,57.3
1,FC Barcelona,56.1
2,Manchester United FC,21.5
3,FC Bayern Munchen,12.3
4,Paris Saint Germain FC,12.2
5,Chelsea FC,11.3
6,Arsenal FC,11.0
7,Juventus FC,9.5
8,Manchester City FC,6.6
9,Liverpool FC,6.3
10,Borussia Dortmund,5.1
11,Galatasaray,4.5
12,AC Milan,4.3
13,Atletico de Madrid,4.2
14,Fenerbahce SK,3.1
15,Besiktas JK,2.0
16,Tottenham Hotspur FC,2.0
17,Leicester City FC,1.9
18,FC Internazionale Milano,1.8
19,AS Roma,1.5
