,Response,Percentage of respondents
0,Massachusetts,76.5%
1,Rhode Island,75.7%
2,Wisconsin,74.8%
3,New Hampshire,74.8%
4,Maine,74.7%
5,Connecticut,74.3%
6,Hawaii,74.1%
7,Michigan,73.8%
8,Minnesota,73.3%
9,District of Columbia,72.4%
10,Delaware,72.2%
11,Maryland,72.1%
12,Pennsylvania,71.4%
13,Oregon,71.4%
14,Vermont,71.2%
15,Iowa,70.9%
16,California,70.9%
17,North Carolina,70.9%
18,Washington,70.7%
19,Utah,69.8%
20,South Carolina,69.6%
21,New York,69.5%
22,Missouri,69.4%
23,Virginia,69.3%
24,Kentucky,69.3%
25,Florida,69%
26,Louisiana,69%
27,United States,68.8%
28,Tennessee,68.3%
29,Colorado,68.3%
30,Nebraska,68.2%
31,South Dakota,68.1%
32,Georgia,68.1%
33,New Jersey,67.4%
34,Indiana,67.4%
35,West Virginia,67.2%
36,North Dakota,66.9%
37,Kansas,66.8%
38,Ohio,66.7%
39,Illinois,66.7%
40,Idaho,66.1%
41,Arkansas,65.5%
42,Arizona,65.2%
43,New Mexico,63.9%
44,Montana,63.3%
45,Mississippi,62.3%
46,Oklahoma,62%
47,Nevada,60.4%
48,Alaska,60.2%
49,Texas,59.6%
50,Wyoming,57.8%
