,Year,GDP per capita in U.S. dollars
0,2025*,1952.54
1,2024*,1917.83
2,2023*,1894.34
3,2022*,1867.47
4,2021*,1828.43
5,2020*,1832.5
6,2019*,1920.29
7,2018*,2022.14
8,2017,2156.15
9,2016,2099.59
10,2015,2036.93
11,2014,1916.77
12,2013,1847.2
13,2012,1792.04
14,2011,1682.96
15,2010,1526.49
16,2009,1464.25
17,2008,1518.81
18,2007,1344.3
19,2006,1240.99
20,2005,1175.11
21,2004,1091.0
22,2003,1015.4
23,2002,1010.05
24,2001,1045.95
25,2000,1016.42
26,1999,981.02
27,1998,951.84
28,1997,917.11
29,1996,916.52
30,1995,897.72
