,Month,Price in euros per square meter
0,Dec 16,3252
1,Jan 17,3257
2,Feb 17,3235
3,Mar 17,3230
4,Apr 17,3209
5,May 17,3197
6,Jun 17,3189
7,Jul 17,3186
8,Aug 17,3183
9,Sep 17,3187
10,Oct 17,3182
11,Nov 17,3164
12,Dec 17,3160
13,Jan 18,3160
14,Feb 18,3160
15,Mar 18,3155
16,Apr 18,3154
17,May 18,3149
18,Jun 18,3140
19,Jul 18,3121
20,Aug 18,3119
21,Sep 18,3113
22,Oct 18,3126
23,Nov 18,3105
24,Dec 18,3103
25,Jan 19,3101
26,Feb 19,3088
27,Mar 19,3090
28,Apr 19,3080
29,May 19,3091
30,Jun 19,3061
31,Jul 19,3052
32,Aug 19,3049
33,Sep 19,3055
34,Oct 19,3053
35,Nov 19,3052
36,Dec 19,3075
