,Month,Units sold
0,Dec 19,2327
1,Nov 19,2505
2,Oct 19,1992
3,Sep 19,7600
4,Aug 19,1509
5,Jul 19,2772
6,Jun 19,3731
7,May 19,2621
8,Apr 19,2033
9,Mar 19,8791
10,Feb 19,1543
11,Jan 19,2724
12,Dec 18,2018
13,Nov 18,2522
14,Oct 18,2366
15,Sep 18,6704
16,Aug 18,1589
17,Jul 18,2522
18,Jun 18,3628
19,May 18,2408
20,Apr 18,1673
21,Mar 18,10085
22,Feb 18,1226
23,Jan 18,2861
24,Dec 17,1569
25,Nov 17,2091
26,Oct 17,1655
27,Sep 17,7530
28,Aug 17,1209
29,Jul 17,2477
30,Jun 17,3255
31,May 17,2447
32,Apr 17,1690
33,Mar 17,11178
34,Feb 17,1164
35,Jan 17,2827
36,Dec 16,2111
37,Nov 16,2521
38,Oct 16,2213
39,Sep 16,9422
40,Aug 16,1269
41,Jul 16,2692
