,hedge fund firm,Aum in billion U.S. dollars
0,Bridgewater Associates,98.92
1,Renaissance Technologies,70
2,Man Group,62.3
3,Millennium Management,43.91
4,Elliott Management,42
5,BlackRock,39.91
6,Two Sigma Investments/Advisers,38.84
7,Citadel,34.34
8,D.E. Shaw Group,34.26
9,AQR Capital Management,32.1
10,Davidson Kempner Capital Management,31.85
11,Farallon Capital Management,30
12,Baupost Group,29.1
13,Marshall Wace,27.8
14,Canyon Capital,22.8
15,Wellington Alternative Investments,21
16,Viking Global Investors,19.95
17,J.P. Morgan Asset Management,-
18,H2O Asset Management,-
19,Adage Capital Management,-
